source,target,following,followed_by
lisamurkowski,BenSasse,FALSE,TRUE
lisamurkowski,SenCortezMasto,TRUE,FALSE
lisamurkowski,SenDeanHeller,TRUE,TRUE
lisamurkowski,SenatorShaheen,TRUE,TRUE
lisamurkowski,SenatorHassan,TRUE,TRUE
lisamurkowski,CoryBooker,TRUE,TRUE
lisamurkowski,SenatorMenendez,TRUE,TRUE
lisamurkowski,MartinHeinrich,TRUE,TRUE
lisamurkowski,SenatorTomUdall,TRUE,TRUE
lisamurkowski,SenSchumer,TRUE,TRUE
lisamurkowski,SenGillibrand,FALSE,TRUE
lisamurkowski,SenatorBurr,TRUE,TRUE
lisamurkowski,SenThomTillis,TRUE,TRUE
lisamurkowski,SenatorHeitkamp,TRUE,TRUE
lisamurkowski,SenJohnHoeven,TRUE,TRUE
lisamurkowski,SenSherrodBrown,TRUE,TRUE
lisamurkowski,senrobportman,TRUE,TRUE
lisamurkowski,JimInhofe,FALSE,TRUE
lisamurkowski,SenatorLankford,TRUE,TRUE
lisamurkowski,RonWyden,TRUE,TRUE
lisamurkowski,SenJeffMerkley,TRUE,TRUE
lisamurkowski,SenBobCasey,TRUE,TRUE
lisamurkowski,SenToomey,TRUE,TRUE
lisamurkowski,SenJackReed,FALSE,TRUE
lisamurkowski,SenWhitehouse,TRUE,TRUE
lisamurkowski,GrahamBlog,TRUE,TRUE
lisamurkowski,SenatorTimScott,TRUE,TRUE
lisamurkowski,SenatorRounds,TRUE,TRUE
lisamurkowski,SenJohnThune,FALSE,TRUE
lisamurkowski,SenAlexander,TRUE,TRUE
lisamurkowski,BobCorker,FALSE,FALSE
lisamurkowski,JohnCornyn,TRUE,TRUE
lisamurkowski,SenTedCruz,TRUE,TRUE
lisamurkowski,senorrinhatch,TRUE,TRUE
lisamurkowski,SenMikeLee,TRUE,TRUE
lisamurkowski,SenatorLeahy,TRUE,TRUE
lisamurkowski,timkaine,FALSE,TRUE
lisamurkowski,MarkWarner,TRUE,TRUE
lisamurkowski,PattyMurray,TRUE,TRUE
lisamurkowski,SenatorCantwell,TRUE,TRUE
lisamurkowski,SenCapito,TRUE,TRUE
lisamurkowski,Sen_JoeManchin,TRUE,TRUE
lisamurkowski,SenatorBaldwin,TRUE,TRUE
lisamurkowski,SenRonJohnson,TRUE,TRUE
lisamurkowski,SenatorEnzi,TRUE,TRUE
lisamurkowski,SenJohnBarrasso,TRUE,TRUE
SenDanSullivan,SenShelby,FALSE,TRUE
SenDanSullivan,SenDougJones,FALSE,FALSE
SenDanSullivan,lisamurkowski,TRUE,TRUE
SenDanSullivan,SenDanSullivan,FALSE,FALSE
SenDanSullivan,SenJohnMcCain,FALSE,TRUE
SenDanSullivan,JeffFlake,FALSE,TRUE
SenDanSullivan,SenTomCotton,TRUE,TRUE
SenDanSullivan,JohnBoozman,TRUE,TRUE
SenDanSullivan,SenFeinstein,FALSE,TRUE
SenDanSullivan,SenKamalaHarris,FALSE,FALSE
SenDanSullivan,SenBennetCO,TRUE,FALSE
SenDanSullivan,SenCoryGardner,FALSE,TRUE
SenDanSullivan,ChrisMurphyCT,FALSE,FALSE
SenDanSullivan,SenBlumenthal,FALSE,FALSE
SenDanSullivan,SenatorCarper,TRUE,TRUE
